Ã¼lke,2015,2016,2017,2018,2019
Afghanistan,24,23,24,29,30
Albania,94,93,97,111,114
Algeria,47,47,48,59,60
Andorra,138,137,140,148,151
Angola,44,43,49,54,59
Antigua and Barbuda,124,123,125,132,135
Argentina,142,140,145,155,158
Armenia,60,58,58,68,72
Australia,151,152,156,161,164
Austria,155,153,158,164,167
Azerbaijan,62,61,63,71,75
Bahamas,130,129,132,140,142
Bahrain,72,72,76,84,89
Bangladesh,37,35,36,43,47
Barbados,132,131,136,144,146
Belarus,67,67,70,79,83
Belgium,156,154,158,164,166
Belize,83,82,85,91,94
Benin,57,55,58,63,63
Bhutan,49,48,51,61,62
Bolivia,66,67,70,79,82
Bosnia and Herzegovina,98,98,101,113,117
Botswana,68,69,72,77,81
Brazil,141,143,146,155,158
Brunei,136,134,137,144,149
Bulgaria,144,141,147,158,160
Burkina Faso,53,52,54,61,62
Burundi,42,42,46,52,52
Cambodia,51,49,50,58,63
Cameroon,44,43,46,50,51
Canada,153,152,157,164,166
Cape Verde,61,63,63,69,71
Central African Republic,46,44,46,52,51
Chad,48,48,49,53,54
Chile,140,138,145,155,159
China,54,56,63,75,76
Colombia,104,104,108,123,126
Comoros,47,47,51,57,58
Congo,43,43,45,48,48
Congo (Dem. Rep.),39,39,43,46,47
Costa Rica,121,121,123,134,139
Cote d'Ivoire (Ivory Coast),56,54,55,62,62
Croatia,141,141,147,156,160
Cuba,61,60,62,71,74
Cyprus,147,143,149,157,162
Czech Republic,152,150,155,163,164
Denmark,156,154,159,165,167
Djibouti,42,40,45,51,52
Dominica,112,111,116,125,127
Dominican Republic,52,52,63,70,73
Ecuador,74,75,80,91,94
Egypt,49,48,50,56,58
El Salvador,108,110,114,124,124
Equatorial Guinea,45,43,48,55,55
Eritrea,38,36,38,44,43
Estonia,147,146,151,160,163
Eswatini,66,64,69,75,77
Ethiopia,35,34,39,44,47
Fiji,76,74,80,89,93
Finland,157,155,159,165,168
France,157,155,159,165,166
Gabon,49,48,53,58,61
Gambia,65,63,65,70,70
Georgia,68,67,105,115,120
Germany,158,157,161,166,167
Ghana,61,57,59,66,68
Greece,154,151,156,164,166
Grenada,117,115,121,128,129
Guatemala,108,107,113,125,127
Guinea,55,54,55,59,58
Guinea-Bissau,49,47,50,56,56
Guyana,75,74,78,85,88
Haiti,52,52,55,61,60
Honduras,111,110,114,125,126
Hong Kong,140,139,145,150,154
Hungary,152,150,153,163,164
Iceland,150,150,153,162,165
India,48,46,54,65,66
Indonesia,56,57,68,75,81
Iran,36,36,35,42,46
Iraq,29,28,27,32,33
Ireland,154,152,157,164,167
Israel,138,136,139,146,147
Italy,156,154,159,165,167
Jamaica,77,76,78,88,91
Japan,154,154,158,164,167
Jordan,48,46,47,56,62
Kazakhstan,68,69,70,80,84
Kenya,65,64,67,71,73
Kiribati,73,103,109,118,121
Kosovo,41,39,41,48,50
Kuwait,81,81,88,96,99
Kyrgyzstan,59,58,58,68,71
Laos,46,45,48,56,59
Latvia,148,147,152,161,163
Lebanon,40,38,38,45,50
Lesotho,68,66,70,76,78
Liberia,46,44,46,52,52
Libya,37,37,39,45,44
Liechtenstein,146,146,150,157,159
Lithuania,147,147,152,161,165
Luxembourg,155,153,158,165,168
Macao,113,115,121,129,134
Madagascar,49,49,52,59,61
Malawi,67,65,68,73,75
Malaysia,151,153,154,161,161
Maldives,74,72,75,83,88
Mali,53,51,53,58,57
Malta,151,148,155,162,166
Marshall Islands,67,102,106,116,120
Mauritania,54,52,54,59,61
Mauritius,118,118,124,132,134
Mexico,127,128,133,143,147
Micronesia,64,98,103,111,114
Moldova,104,104,105,112,116
Monaco,144,142,146,156,161
Mongolia,60,57,57,67,72
Montenegro,102,101,106,117,121
Morocco,58,55,58,68,71
Mozambique,49,48,54,58,62
Myanmar [Burma],42,39,41,51,53
Namibia,65,64,67,71,73
Nauru,72,70,72,80,82
Nepal,40,37,37,46,50
Netherlands,156,154,158,165,167
New Zealand,153,152,155,162,164
Nicaragua,101,101,106,115,118
Niger,52,49,52,58,57
Nigeria,42,41,44,47,48
North Korea,40,39,39,46,46
North Macedonia,107,106,109,118,122
Norway,155,155,158,165,166
Oman,70,69,73,81,84
Pakistan,27,26,28,35,39
Palau,65,99,101,113,116
Palestinian Territories,37,37,39,44,46
Panama,117,115,117,129,133
Papua New Guinea,69,67,70,78,81
Paraguay,116,116,119,129,135
Peru,85,118,124,137,138
Philippines,62,60,62,68,72
Poland,150,148,152,161,163
Portugal,155,153,158,164,167
Qatar,75,77,78,90,98
Romania,143,140,147,158,161
Russian Federation,104,103,108,116,118
Rwanda,46,48,53,58,64
Saint Kitts and Nevis,124,123,126,133,138
Saint Lucia,119,118,122,128,131
Samoa,111,110,115,123,125
San Marino,139,137,141,147,151
Sao Tome and Principe,53,53,57,64,66
Saudi Arabia,68,66,71,79,80
Senegal,56,53,55,61,63
Serbia,112,110,114,126,131
Seychelles,123,125,130,136,137
Sierra Leone,57,56,59,63,63
Singapore,155,156,160,166,166
Slovakia,149,147,152,161,163
Slovenia,149,147,152,161,164
Solomon Islands,76,109,115,123,127
Somalia,31,30,34,38,40
South Africa,91,90,94,98,100
South Korea,156,152,159,165,167
South Sudan,36,34,39,47,47
Spain,157,155,159,165,168
Sri Lanka,39,35,37,45,48
St. Vincent and the Grenadines,121,119,126,136,137
Sudan,36,36,37,42,43
Suriname,70,70,69,78,80
Sweden,158,156,160,165,166
Switzerland,157,155,157,164,167
Syria,32,29,31,36,37
Taiwan,120,119,121,130,132
Tajikistan,56,54,54,62,66
Tanzania,62,62,65,70,73
Thailand,72,70,73,80,85
Timor-Leste,84,84,86,95,98
Togo,53,50,52,58,58
Tonga,108,107,110,117,121
Trinidad and Tobago,123,121,124,135,136
Tunisia,61,60,63,70,73
Turkey,102,104,107,115,117
Turkmenistan,52,49,49,57,57
Tuvalu,74,107,114,122,123
Uganda,58,57,61,68,70
Ukraine,86,87,121,131,134
United Arab Emirates,122,122,131,167,173
United Kingdom,157,155,159,164,165
United States of America,155,155,158,165,167
Uruguay,129,127,129,141,146
Uzbekistan,55,54,54,63,66
Vanuatu,112,112,117,124,128
Vatican City,129,129,132,142,144
Venezuela,122,121,120,129,129
Viet Nam,51,48,48,56,61
Yemen,41,40,37,39,40
Zambia,61,59,62,69,72
Zimbabwe,59,58,62,67,69
